City,State,Total_Population,Median_Income,Unemployment_Rate,Median_Age,Type,Total no. of census tracts,Total no. of disadvantaged tracts,Percentage of disadvantaged population
Abbeville city,Alabama,2572,41500,9.37,50.3,City,3,3,100
Adamsville city,Alabama,4266,44734,11.91,44,City,11,5,45.27
Alabaster city,Alabama,33373,80871,4.33,37,City,16,2,16.35
Albertville city,Alabama,21620,51095,3.06,32.9,City,9,6,86.09
Alexander city,Alabama,14515,41004,4.89,39.7,City,6,1,22.88
Aliceville city,Alabama,2199,26300,21.35,39.5,City,3,1,100
Andalusia city,Alabama,8719,41410,8.72,41.6,City,5,5,100
Anniston city,Alabama,21518,41366,7.96,41.4,City,18,13,86.34
Arab city,Alabama,8405,48391,3.89,40.8,City,5,2,76.43
Ashville city,Alabama,2309,49048,6.18,42.2,City,3,2,100
Athens city,Alabama,26686,53144,5.89,41.3,City,13,3,30.84
Atmore city,Alabama,9269,25211,13.17,38.8,City,4,4,100
Attalla city,Alabama,5885,42744,4.38,39,City,5,1,23.6
Auburn city,Alabama,65508,49028,3.78,25.2,City,27,1,10.2
Bay Minette city,Alabama,9297,39588,10.09,33.1,City,5,2,26.68
Bayou La Batre city,Alabama,2332,33750,2.67,44.2,City,3,1,43.18
Bessemer city,Alabama,26063,30284,13.8,42.4,City,22,11,69.01
Birmingham city,Alabama,210928,38832,8.33,36.2,City,117,59,56.31
Boaz city,Alabama,9587,41556,1.66,37.4,City,6,4,81.79
Brewton city,Alabama,5210,41444,7.2,39.8,City,4,2,53.94
Bridgeport city,Alabama,2235,33065,10.43,45.1,City,2,1,100
Brighton city,Alabama,2873,28906,11.75,46.5,City,5,5,100
Brundidge city,Alabama,2432,33914,11.63,45.3,City,1,1,100
Calera city,Alabama,14327,68171,0.38,32.7,City,7,0,0
Camden city,Alabama,2045,47949,4.03,35.5,City,2,0,0
Carbon Hill city,Alabama,1354,26333,5.97,38.2,City,3,3,100
Center Point city,Alabama,15971,45221,7.93,34.1,City,11,5,60.73
Centre city,Alabama,3581,36887,7.87,54.1,City,6,1,48.42
Centreville city,Alabama,2627,42041,5.48,46,City,4,0,0
Chelsea city,Alabama,13599,92917,4.9,35.4,City,10,0,0
Chickasaw city,Alabama,5757,32332,3.64,30.2,City,7,6,68.02
Childersburg city,Alabama,4872,39636,9.16,37.5,City,7,4,100
Citronelle city,Alabama,3919,43884,2.5,36,City,3,2,68.25
Clanton city,Alabama,8719,43675,8.67,40.5,City,5,1,62.65
Clay city,Alabama,9936,67854,2.28,40.7,City,11,2,22.61
Clio city,Alabama,1037,22378,12.2,37.2,City,1,1,100
Columbiana city,Alabama,4602,45759,2.15,40.4,City,4,0,0
Cordova city,Alabama,1655,30919,11.5,49.7,City,2,2,100
Creola city,Alabama,2119,52679,6.48,36.4,City,3,1,100
Cullman city,Alabama,16072,52301,3.86,41.1,City,11,1,21.77
Dadeville city,Alabama,3056,26350,31.2,44.4,City,3,2,58.11
Daleville city,Alabama,5125,35255,9.76,36.3,City,4,2,42.24
Daphne city,Alabama,26578,71105,4.42,39.5,City,9,0,0
Decatur city,Alabama,54344,49296,5.59,40.4,City,22,9,52.56
Demopolis city,Alabama,6724,32743,4.21,42.2,City,3,1,100
Dora city,Alabama,2429,50195,8.32,40,City,2,2,100
Dothan city,Alabama,68608,48377,5.86,40,City,26,12,61.79
East Brewton city,Alabama,3093,37917,12.31,34.7,City,1,0,0
Elba city,Alabama,3874,37124,9.41,47.9,City,2,2,100
Enterprise city,Alabama,28170,62182,5.87,36.2,City,11,2,26.34
Eufaula city,Alabama,11878,34713,6.13,37.1,City,6,6,100
Evergreen city,Alabama,3591,29610,10.01,35.7,City,3,3,100
Fairfield city,Alabama,10749,41439,7.93,32.4,City,7,5,100
Fairhope city,Alabama,22035,80106,5.04,42.4,City,8,1,21.33
Fayette city,Alabama,4329,30313,15,43.2,City,3,2,100
Florence city,Alabama,40652,39735,6.35,34.5,City,16,7,44.64
Foley city,Alabama,19337,48373,4.94,51.7,City,8,0,0
Fort Payne city,Alabama,14063,42200,7.85,39.7,City,6,5,90.44
Fultondale city,Alabama,9247,67325,3.18,37.6,City,8,3,100
Gadsden city,Alabama,35224,34062,7.85,40.3,City,23,16,63.75
Gardendale city,Alabama,14021,75170,2.85,38.1,City,10,3,53.73
Geneva city,Alabama,4292,38926,3.19,50.2,City,3,2,81.44
Glencoe city,Alabama,5125,61514,3.29,45,City,7,2,33.34
Good Hope city,Alabama,2870,54091,7.47,33.4,City,5,1,26.01
Graysville city,Alabama,2328,48229,12.08,45.2,City,4,2,57.29
Greensboro city,Alabama,2956,22132,11.75,35.4,City,2,0,0
Greenville city,Alabama,7478,41012,7.24,35.9,City,6,6,100
Guin city,Alabama,2684,39725,16.92,41.6,City,3,2,100
Gulf Shores city,Alabama,12550,53209,3.55,50.6,City,7,0,0
Guntersville city,Alabama,8531,50142,4.95,43.7,City,9,2,100
Haleyville city,Alabama,4139,39886,5.67,36.4,City,4,2,100
Hamilton city,Alabama,6662,38613,4.04,39.7,City,3,1,100
Hanceville city,Alabama,3377,33900,12.48,48.3,City,2,2,100
Hartford city,Alabama,2584,38642,1.81,39.8,City,1,1,100
Hartselle city,Alabama,14421,56323,3.1,40.9,City,7,1,30.64
Headland city,Alabama,4684,65278,4.04,43.3,City,2,1,21.74
Heflin city,Alabama,3453,40260,8.83,41.3,City,2,1,52.12
Helena city,Alabama,18631,89982,1.72,38,City,12,0,0
Henagar city,Alabama,2457,48281,6.99,37.5,City,4,1,100
Hokes Bluff city,Alabama,4253,53920,0.72,44.8,City,3,1,40.47
Homewood city,Alabama,25170,84418,2.73,30.6,City,13,1,6.91
Hoover city,Alabama,85386,92984,4.01,37.9,City,39,1,5.46
Hueytown city,Alabama,15446,51350,9.18,35.9,City,8,3,53.19
Huntsville city,Alabama,199845,56758,5.05,36.8,City,84,18,33.04
Indian Springs Village city,Alabama,2618,120313,2.25,44.3,City,4,0,0
Irondale city,Alabama,13068,61051,9.07,37.8,City,12,3,30.28
Jackson city,Alabama,4731,41944,12.45,44.7,City,10,4,65.78
Jacksonville city,Alabama,12796,41530,9.41,28.8,City,6,1,49.83
Jasper city,Alabama,13584,53308,5.9,36,City,9,6,87.16
Jemison city,Alabama,2658,51903,3.83,35.3,City,4,2,100
Kimberly city,Alabama,3551,93772,1.93,34.7,City,4,0,0
La Fayette city,Alabama,2922,29448,6.61,41.8,City,1,0,0
Lanett city,Alabama,6220,34785,4.19,45.6,City,4,2,55.31
Leeds city,Alabama,12555,62227,1.74,37.1,City,9,4,63.88
Lincoln city,Alabama,6805,63824,7.1,40.2,City,3,1,34.88
Linden city,Alabama,1838,33542,12.08,38.1,City,2,0,0
Lineville city,Alabama,2501,33824,3.74,49.1,City,2,2,100
Lipscomb city,Alabama,2055,35417,7.34,29.2,City,4,3,100
Livingston city,Alabama,3286,16233,6.72,21.8,City,2,0,0
Luverne city,Alabama,2742,48468,1.65,41.9,City,2,1,43.52
Madison city,Alabama,50717,94214,3.01,39.6,City,15,0,0
Marion city,Alabama,3196,24275,7.63,36.1,City,2,0,0
Midfield city,Alabama,4984,43219,9.06,39.6,City,9,8,100
Millbrook city,Alabama,16037,56722,3.33,35.9,City,8,1,7.88
